image_name,label
isbi2025_ps3c_train_image_73838.png,rubbish
isbi2025_ps3c_train_image_84057.png,unhealthy
isbi2025_ps3c_train_image_80712.png,rubbish
isbi2025_ps3c_train_image_08602.png,healthy
isbi2025_ps3c_train_image_31517.png,healthy
isbi2025_ps3c_train_image_45461.png,rubbish
isbi2025_ps3c_train_image_47339.png,rubbish
isbi2025_ps3c_train_image_67018.png,rubbish
isbi2025_ps3c_train_image_85033.png,unhealthy
isbi2025_ps3c_train_image_62316.png,rubbish
isbi2025_ps3c_train_image_72395.png,rubbish
isbi2025_ps3c_train_image_75316.png,rubbish
isbi2025_ps3c_train_image_44211.png,rubbish
isbi2025_ps3c_train_image_17105.png,healthy
isbi2025_ps3c_train_image_76244.png,rubbish
isbi2025_ps3c_train_image_59725.png,rubbish
isbi2025_ps3c_train_image_07675.png,healthy
isbi2025_ps3c_train_image_37503.png,rubbish
isbi2025_ps3c_train_image_65223.png,rubbish
isbi2025_ps3c_train_image_71976.png,rubbish
isbi2025_ps3c_train_image_61560.png,rubbish
isbi2025_ps3c_train_image_34225.png,rubbish
isbi2025_ps3c_train_image_49857.png,rubbish
isbi2025_ps3c_train_image_20668.png,healthy
isbi2025_ps3c_train_image_69881.png,rubbish
isbi2025_ps3c_train_image_79214.png,rubbish
isbi2025_ps3c_train_image_51619.png,rubbish
isbi2025_ps3c_train_image_46884.png,rubbish
isbi2025_ps3c_train_image_31069.png,healthy
isbi2025_ps3c_train_image_79694.png,rubbish
isbi2025_ps3c_train_image_82889.png,unhealthy
isbi2025_ps3c_train_image_22572.png,healthy
isbi2025_ps3c_train_image_43633.png,rubbish
isbi2025_ps3c_train_image_23908.png,healthy
isbi2025_ps3c_train_image_49171.png,rubbish
isbi2025_ps3c_train_image_21383.png,healthy
isbi2025_ps3c_train_image_29135.png,healthy
isbi2025_ps3c_train_image_23762.png,healthy
isbi2025_ps3c_train_image_63747.png,rubbish
isbi2025_ps3c_train_image_24524.png,healthy
isbi2025_ps3c_train_image_67264.png,rubbish
